Application_mode,Course,Previous_qualification,Previous_qualification_grade,Mothers_occupation,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,GDP,Status,Curricular_units_credited_avg,Curricular_units_enrolled_avg,Curricular_units_evaluations_avg,Curricular_units_approved_avg,Curricular_units_grade_avg,Curricular_units_without_evaluations_avg
17,171,1,122.0,5,127.3,1,0,1,1,0,20,1.74,Dropout,0.0,0.0,0.0,0.0,0.0,0.0
15,9254,1,160.0,3,142.5,1,0,0,1,0,19,0.79,Graduate,0.0,6.0,6.0,6.0,13.833333333333332,0.0
1,9070,1,122.0,9,124.8,1,0,0,1,0,19,1.74,Dropout,0.0,6.0,0.0,0.0,0.0,0.0
17,9773,1,122.0,5,119.6,1,0,1,0,0,20,-3.12,Graduate,0.0,6.0,9.0,5.5,12.914285714285715,0.0
39,8014,1,100.0,9,141.5,0,0,1,0,0,45,0.79,Graduate,0.0,6.0,7.5,5.5,12.666666666666668,0.0
39,9991,19,133.1,9,114.8,0,1,1,1,0,50,-0.92,Graduate,0.0,5.0,13.5,5.0,11.678571428571429,2.5
1,9500,1,142.0,7,128.4,1,0,1,0,1,18,-4.06,Graduate,0.0,7.5,8.5,7.5,13.822500000000002,0.0
18,9254,1,119.0,9,113.1,1,0,0,1,0,22,-4.06,Dropout,0.0,5.0,5.0,0.0,0.0,0.0
1,9238,1,137.0,9,129.3,0,0,1,0,1,21,-0.92,Graduate,0.0,6.0,7.5,6.0,14.008928571428571,0.0
1,9238,1,138.0,4,123.0,1,1,0,0,0,18,3.51,Dropout,0.0,6.0,11.5,3.5,12.45,0.0
1,9670,1,139.0,5,130.6,1,0,1,0,0,18,0.79,Graduate,0.0,6.0,6.5,5.5,13.266666666666666,0.0
1,9500,1,136.0,9,119.3,1,0,1,0,1,18,-1.7,Graduate,0.0,8.0,8.0,7.0,13.214285714285714,0.0
1,9853,1,133.0,4,130.2,1,0,1,0,0,19,-1.7,Dropout,0.0,6.0,3.0,0.0,0.0,0.0
53,9254,42,110.0,4,111.8,1,0,1,0,1,21,3.51,Graduate,0.0,6.0,7.5,5.5,10.785714285714285,0.0
